,ppid,heading,cameraoffset,occlusion,trialn,timestamp,trialtype_signed,World_x,World_z,WorldYaw,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,StraightVisible
2,1,-2.0,-2.0,0,0,3.7566843684921793,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.04048036111603315,viz.VizPrimitive(6)
3,1,-2.0,-2.0,0,0,3.7952663589951947,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.03856569029422152,viz.VizPrimitive(6)
4,1,-2.0,-2.0,0,0,3.810991532645243,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.015730607052979906,viz.VizPrimitive(6)
5,1,-2.0,-2.0,0,0,3.9287451465373677,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.11774244523054378,viz.VizPrimitive(6)
6,1,-2.0,-2.0,0,0,3.9305200581615596,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.001805399051750367,viz.VizPrimitive(6)
7,1,-2.0,-2.0,0,0,3.933616494120907,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.003095832247910213,viz.VizPrimitive(6)
8,1,-2.0,-2.0,0,0,3.9450507887338992,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.011428257498624639,viz.VizPrimitive(6)
9,1,-2.0,-2.0,0,0,3.9629022340643574,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.017852652753331366,viz.VizPrimitive(6)
10,1,-2.0,-2.0,0,0,3.9793077905036793,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.01639861375779894,viz.VizPrimitive(6)
11,1,-2.0,-2.0,0,0,3.996822364852403,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.017473220115302723,viz.VizPrimitive(6)
12,1,-2.0,-2.0,0,0,4.013073974875341,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016299605082163993,viz.VizPrimitive(6)
13,1,-2.0,-2.0,0,0,4.029177977451981,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016107624845260737,viz.VizPrimitive(6)
14,1,-2.0,-2.0,0,0,4.045818377640218,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0166461354468872,viz.VizPrimitive(6)
15,1,-2.0,-2.0,0,0,4.062439459062478,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016620779566540733,viz.VizPrimitive(6)
16,1,-2.0,-2.0,0,0,4.079098876160975,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016661530088526,viz.VizPrimitive(6)
17,1,-2.0,-2.0,0,0,4.095831342343324,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016728240202291467,viz.VizPrimitive(6)
18,1,-2.0,-2.0,0,0,4.112471742531561,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016643116889702547,viz.VizPrimitive(6)
19,1,-2.0,-2.0,0,0,4.12913266890865,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016662737511398795,viz.VizPrimitive(6)
20,1,-2.0,-2.0,0,0,4.145799934255824,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016639796476800583,viz.VizPrimitive(6)
21,1,-2.0,-2.0,0,0,4.162527570746679,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.01675480350551073,viz.VizPrimitive(6)
22,1,-2.0,-2.0,0,0,4.179185176710865,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016646739158323598,viz.VizPrimitive(6)
