,ppid,heading,cameraoffset,occlusion,trialn,timestamp,trialtype_signed,World_x,World_z,WorldYaw,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,StraightVisible
2,1,0.0,0.0,0,0,2.36078608340779,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0417292506821858,viz.VizPrimitive(6)
3,1,0.0,0.0,0,0,2.404639467774263,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.04384161213204241,viz.VizPrimitive(6)
4,1,0.0,0.0,0,0,2.4145785540073894,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.00996293255415237,viz.VizPrimitive(6)
5,1,0.0,0.0,0,0,2.5157434015116755,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.10110477892347447,viz.VizPrimitive(6)
6,1,0.0,0.0,0,0,2.517019632464804,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0013402236120834132,viz.VizPrimitive(6)
7,1,0.0,0.0,0,0,2.5178611963004998,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0008424693921904591,viz.VizPrimitive(6)
8,1,0.0,0.0,0,0,2.5320331554417908,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.014170148028301632,viz.VizPrimitive(6)
9,1,0.0,0.0,0,0,2.5495460143440147,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.01751014223274039,viz.VizPrimitive(6)
10,1,0.0,0.0,0,0,2.568061022433653,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.01848059694284121,viz.VizPrimitive(6)
11,1,0.0,0.0,0,0,2.583545736640023,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.015515201275023482,viz.VizPrimitive(6)
12,1,0.0,0.0,0,0,2.602201105986332,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.018646615633527208,viz.VizPrimitive(6)
13,1,0.0,0.0,0,0,2.6162393446185797,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.01404850160585358,viz.VizPrimitive(6)
14,1,0.0,0.0,0,0,2.6331497065996956,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016907343459467317,viz.VizPrimitive(6)
15,1,0.0,0.0,0,0,2.6495185457970107,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016373366979788084,viz.VizPrimitive(6)
16,1,0.0,0.0,0,0,2.666098681509744,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016583154234381947,viz.VizPrimitive(6)
17,1,0.0,0.0,0,0,2.682944447127575,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.01683821931370888,viz.VizPrimitive(6)
18,1,0.0,0.0,0,0,2.699525488396803,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.01657621163459,viz.VizPrimitive(6)
19,1,0.0,0.0,0,0,2.7164186448045204,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016877460095143793,viz.VizPrimitive(6)
20,1,0.0,0.0,0,0,2.732964973074787,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016545724565936837,viz.VizPrimitive(6)
21,1,0.0,0.0,0,0,2.749634758880491,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016682161744463908,viz.VizPrimitive(6)
22,1,0.0,0.0,0,0,2.7661288667262323,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016509200453985517,viz.VizPrimitive(6)
23,1,0.0,0.0,0,0,2.7830467750114702,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016889232329574178,viz.VizPrimitive(6)
24,1,0.0,0.0,0,0,2.7997971553451984,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016754002559706382,viz.VizPrimitive(6)
25,1,0.0,0.0,0,0,2.816185916785395,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016410192943904,viz.VizPrimitive(6)
26,1,0.0,0.0,0,0,2.83286626741687,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016674313588176837,viz.VizPrimitive(6)
27,1,0.0,0.0,0,0,2.849522168022989,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.01665982468426286,viz.VizPrimitive(6)
28,1,0.0,0.0,0,0,2.866087512979643,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016569872739127245,viz.VizPrimitive(6)
29,1,0.0,0.0,0,0,2.883089939871049,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016982806500688064,viz.VizPrimitive(6)
30,1,0.0,0.0,0,0,2.899701166356765,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016600661659945448,viz.VizPrimitive(6)
31,1,0.0,0.0,0,0,2.9164578855859555,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016758530342179778,viz.VizPrimitive(6)
32,1,0.0,0.0,0,0,2.9330645842891987,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016607000555407758,viz.VizPrimitive(6)
33,1,0.0,0.0,0,0,2.9496854700441912,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.016612735746540874,viz.VizPrimitive(6)
