"","trial_number","heading","response","response_num","FirstSteeringTime"
"1",1,"0","steer","2",0.7342478447756
"2",2,"2","steer","2",0.400073651928301
"3",3,"0","nosteer","1",2.5
"4",4,"2","steer","2",0.333388471662097
"5",5,"0.5","steer","2",0.400121344570294
"6",6,"2","steer","2",0.433378510540706
"7",8,"1","steer","2",0.450094781579708
"8",9,"1","steer","2",0.400027770399205
"9",10,"1","steer","2",0.333319951220602
"10",11,"1","steer","2",0.416770906280988
"11",12,"0.5","steer","2",0.350126476057
"12",13,"0.5","steer","2",0.483343193837399
"13",14,"1","steer","2",0.383427712443989
"14",15,"0.5","steer","2",0.550031392625002
"15",16,"0.5","steer","2",0.300094781578991
"16",17,"1","steer","2",0.466906136050994
"17",18,"1","steer","2",0.416772415541999
"18",19,"1","steer","2",0.233348929028992
"19",20,"0","nosteer","1",2.5
"20",21,"2","steer","2",0.38335617348099
"21",22,"0","steer","2",0.666824032262014
"22",23,"2","steer","2",0.383387264253997
"23",24,"1.5","steer","2",0.433402055009598
"24",25,"1","steer","2",0.383446729129986
"25",26,"0.5","steer","2",0.366736796986999
"26",27,"1.5","steer","2",0.349999999999994
"27",28,"0","nosteer","1",2.5
"28",29,"1.5","steer","2",0.383399999999995
"29",30,"2","steer","2",0.2834
"30",31,"1","steer","2",0.300100000000015
"31",32,"1.5","steer","2",0.366700000000009
"32",33,"0","nosteer","1",2.5
"33",34,"1.5","steer","2",0.316699999999997
"34",35,"1.5","steer","2",0.416624809833099
"35",36,"1.5","steer","2",0.366600000000005
"36",37,"1","steer","2",0.483400000000017
"37",38,"0","nosteer","1",2.5
"38",39,"2","steer","2",0.2834
"39",40,"2","steer","2",0.383600000000001
"40",41,"1","steer","2",0.25
"41",42,"1","steer","2",0.350200000000001
"42",43,"2","steer","2",0.333600000000018
"43",44,"1.5","steer","2",0.333399999999983
"44",45,"1.5","steer","2",0.416599999999988
"45",46,"2","steer","2",0.383384849436098
"46",47,"0.5","steer","2",0.449899999999985
"47",48,"0.5","steer","2",0.333300000000008
"48",50,"1","steer","2",0.433299999999974
"49",51,"1.5","steer","2",0.466700000000003
"50",52,"1","steer","2",0.366799999999955
"51",53,"0.5","steer","2",0.483400000000017
"52",54,"1.5","steer","2",0.266799999999989
"53",55,"0","nosteer","1",2.5
"54",56,"2","steer","2",0.38330000000002
"55",58,"0","steer","2",1.1001
"56",59,"1","steer","2",0.450000000000045
"57",60,"1.5","steer","2",0.333500000000015
"58",61,"0.5","steer","2",0.466600000000028
"59",62,"2","steer","2",0.333399999999983
"60",63,"0.5","steer","2",0.36669999999998
"61",65,"2","steer","2",0.350199999999973
"62",66,"0","steer","2",0.283299999999997
"63",68,"1.5","steer","2",0.466649259858499
"64",69,"1.5","steer","2",0.249900000000025
"65",70,"1.5","steer","2",0.150000000000034
"66",71,"1.5","steer","2",0.416600000000017
"67",72,"2","steer","2",0.416699999999992
"68",73,"0.5","nosteer","1",2.5
"69",74,"2","steer","2",0.383599999999944
"70",75,"2","steer","2",0.400100000000009
"71",76,"0.5","steer","2",0.5
"72",77,"2","steer","2",0.166699999999992
"73",78,"0.5","steer","2",0.349899999999991
"74",79,"1","steer","2",0.416682161744497
"75",80,"1","steer","2",0.466700000000003
"76",81,"1.5","steer","2",0.449999999999989
"77",82,"0.5","steer","2",0.516599999999983
"78",83,"0.5","steer","2",0.533400000000029
"79",84,"2","steer","2",0.350200000000029
"80",85,"0.5","steer","2",0.483499999999992
"81",86,"1","steer","2",0.38330000000002
"82",87,"0.5","steer","2",0.383299999999963
"83",88,"1.5","steer","2",0.466799999999978
"84",89,"0.5","steer","2",0.516700000000014
"85",90,"1.5","steer","2",0.349912462872204
