"","trial_number","heading","response","response_num","FirstSteeringTime"
"1",1,"2","steer","2",0.450714
"2",2,"1","steer","2",0.33337
"3",3,"2","steer","2",0.416670000000003
"4",4,"2","steer","2",0.400099999999995
"5",5,"2","steer","2",0.16677
"6",6,"1.5","steer","2",0.466650000000001
"7",8,"0.5","steer","2",0.466660000000005
"8",9,"1.5","steer","2",0.399990000000003
"9",10,"0","steer","2",0.333359999999999
"10",11,"2","steer","2",0.31671
"11",12,"1.5","steer","2",0.416709999999995
"12",13,"1","steer","2",0.299999999999997
"13",14,"0.5","steer","2",0.583500000000001
"14",15,"1","steer","2",0.333300000000008
"15",16,"0.5","steer","2",0.550000000000011
"16",17,"1.5","steer","2",0.349900000000005
"17",18,"0.5","steer","2",0.4833
"18",19,"1","steer","2",0.450000000000003
"19",20,"0","nosteer","1",2.5
"20",21,"0.5","steer","2",0.616600000000005
"21",22,"1","steer","2",0.383400000000023
"22",23,"2","steer","2",0.266699999999986
"23",25,"0.5","nosteer","1",2.5
"24",26,"0","nosteer","1",2.5
"25",27,"1.5","steer","2",0.250100000000003
"26",29,"0","nosteer","1",2.5
"27",30,"1","steer","2",0.449999999999989
"28",31,"1.5","steer","2",0.483500000000021
"29",32,"0.5","steer","2",0.366700000000009
"30",33,"2","steer","2",0.400000000000006
"31",34,"1.5","steer","2",0.316700000000026
"32",35,"2","steer","2",0.316609999999997
"33",36,"0","nosteer","1",2.5
"34",37,"2","steer","2",0.383499999999998
"35",38,"0.5","steer","2",0.383400000000023
"36",39,"1","steer","2",0.400000000000006
"37",40,"0.5","steer","2",0.466800000000006
"38",41,"0.5","steer","2",0.449999999999989
"39",42,"1","steer","2",0.4666
"40",43,"2","steer","2",0.366700000000009
"41",44,"0","nosteer","1",2.5
"42",45,"2","steer","2",0.383400000000023
"43",47,"1.5","steer","2",0.350099999999998
"44",48,"1.5","steer","2",0.366800000000012
"45",49,"0.5","steer","2",0.266800000000018
"46",51,"1.5","steer","2",0.333199999999977
"47",52,"0","nosteer","1",2.5
"48",53,"0.5","nosteer","1",2.5
"49",54,"1.5","steer","2",0.333500000000015
"50",55,"2","steer","2",0.333500000000015
"51",56,"0.5","nosteer","1",2.5
"52",57,"0.5","nosteer","1",2.5
"53",58,"0.5","steer","2",0.433399999999949
"54",59,"1","nosteer","1",2.5
"55",60,"1","steer","2",0.450099999999964
"56",61,"1","steer","2",0.45010000000002
"57",62,"1.5","steer","2",0.166800000000023
"58",63,"1","steer","2",0.366899999999987
"59",64,"1","steer","2",0.166800000000023
"60",65,"0","nosteer","1",2.5
"61",66,"1.5","steer","2",0.316699999999969
"62",67,"2","steer","2",0.399999999999977
"63",68,"1.5","steer","2",0.416679999999999
"64",69,"0","nosteer","1",2.5
"65",70,"0.5","steer","2",0.516600000000039
"66",71,"1","steer","2",0.483400000000017
"67",72,"1","steer","2",0.433499999999981
"68",73,"1","steer","2",0.283299999999997
"69",75,"2","steer","2",0.266800000000046
"70",76,"2","steer","2",0.316699999999969
"71",77,"1.5","steer","2",0.25
"72",78,"1.5","steer","2",0.316600000000051
"73",79,"1.5","steer","2",0.31671
"74",80,"0.5","nosteer","1",2.5
"75",81,"1","steer","2",0.483399999999961
"76",82,"1","steer","2",0.400199999999984
"77",83,"2","steer","2",0.433400000000006
"78",84,"0.5","nosteer","1",2.5
"79",85,"0.5","steer","2",0.500100000000032
"80",86,"2","steer","2",0.316599999999994
"81",87,"1","steer","2",0.433300000000031
"82",88,"0.5","nosteer","1",2.5
"83",89,"2","steer","2",0.266600000000039
"84",90,"0","nosteer","1",2.5
