"","frame","-2","-1.5","-1","-0.5","0","0.5","1","1.5","2"
"1",1,-0.00385000190982404,-0.00163333506538088,-0.0019833341899477,0.000700001026674483,0.000116665317308601,0.00268333100105945,0.00245000319304612,0.00443333713235189,0.00314999954656399
"2",2,-0.00629999527135523,-0.00151666386217024,-0.00279999991780643,-0.00093333457341937,0.000233334051395114,0.00268333415041752,0.0038499987269063,0.00699999102827587,0.00560000133994481
"3",3,-0.00618333761342414,-0.000583334244973849,-0.00291666816193132,-0.0005833318470966,0.000699997533333334,0.00233332960619685,0.00361666688715363,0.00548333526814075,0.00548332923673418
"4",4,-0.00559999725079248,-0.00198333306590964,-0.00256666500359625,1.1056139027964e-09,0.00105000032766717,0.0024500018820485,0.00361666632637561,0.00443333688162484,0.00583333992498146
"5",5,-0.00606667402525813,-0.00105000040597243,-0.00466666660324704,0.00069999939017404,0.000699999766135979,0.00175000310513547,0.0037333334532896,0.0054833326132539,0.00548333436526483
"6",6,-0.00536666239784498,-0.00198333426345219,-0.00361667071233182,0.000350003444890071,0.000466667708013326,0.00116666695480366,0.00384999768919068,0.00419999580281405,0.00653333367369663
"7",7,-0.00501666725809229,-0.00163333019346653,-0.00431666713148651,0.000583330781884035,0.00128333091111175,0.00174999941725249,0.00338333825789439,0.00478333747347414,0.00618333265200573
"8",8,-0.00583332968234901,-0.00186666614165101,-0.00385000405775065,0.0010500026082339,0.000816668480876849,0.000816665551174542,0.00268333160862395,0.00385000044549877,0.00629999733854682
"9",9,-0.00478333645222631,-0.00046666783696053,-0.00419999449611612,0.000933329484897349,0.000933332898828339,0.00116666178886116,0.00338333395010546,0.00338333044399431,0.00665000223363383
"10",10,-0.00454999902978224,-0.00186666684485972,-0.00256666569955116,0.00128333506933018,0.000700001379705186,0.000816668546245144,0.00268333330884647,0.00385000307498051,0.00630000081247171
"11",11,-0.00595000460286629,-0.00163333479069896,-0.00303333465585735,0.00221666616013319,0.000816667090174038,0.00035000288542552,0.00291666707210648,0.00244999708321631,0.00525000136386874
"12",12,-0.00501666516107855,-0.00105000124497192,-0.00291666361322873,0.00128333296485017,0.00128333379198859,0.000933334969053511,0.00233332592132967,0.00245000155030338,0.00478332662796959
"13",13,-0.00583333127506427,-0.00139999862221774,-0.0029166707358953,0.00186666313031871,0.00104999904679225,0.00116666569061961,0.00326667289893093,0.00233333072166249,0.00489999918458397
"14",14,-0.00560000258759284,-0.00116666481752975,-0.00139999967604571,0.00198333627852774,0.00058333521700041,0.00151666530717502,0.0024499994638726,0.00280000272520394,0.0047833321308436
"15",15,-0.00501666730189252,-0.000933336801810703,-0.00104999802822113,0.00513333967852006,0.00104999659433384,0.00069999891655542,0.00326666818396948,0.00175000357763526,0.00338333883151108
"16",16,-0.0046666620760419,-0.00163333183492155,-0.00140000270481335,0.00174999595745519,0.00140000198760438,0.00116666680678171,0.00268333303983453,0.00373332723531099,0.00571666140605047
"17",17,-0.00536666908042223,-0.00128333190253739,-0.000933331496814512,0.00186666776035568,0.000466666123282952,0.00175000175940458,0.00361666512743891,0.00338333499469045,0.00385000449228716
"18",18,-0.00629999921224921,-0.00244999879227459,-0.00174999848849553,0.00210000646571175,0.000350001103096508,0.0020999968439982,0.00384999377741338,0.0050166652346933,0.00594999493296252
"19",19,-0.00629999912743317,-0.00175000064773371,-0.00210000194181553,0.00279999694891113,0.0017499960370443,0.00303333225638993,0.00501667532447155,0.00606666500789655,0.00641666772154065
"20",20,-0.00863333532751498,-0.00280000003639948,-0.0011666659128102,0.00221667299388058,0.00233333629058484,0.00349999984667241,0.00629999338380427,0.00910000284814065,0.00921666906597995
"21",21,-0.0108499993303871,-0.00455000020451257,-0.00244999669438672,0.00221666428321631,0.00361666551104854,0.00490000366087865,0.00676666655060387,0.0136500004435572,0.0148166641625165
"22",22,-0.0151666631077128,-0.00816666547067426,-0.00268333959295462,0.000816663360776098,0.00384999846663248,0.00536666300700152,0.0101500060343755,0.0186666647471685,0.0215833346299267
"23",23,-0.0215833343054437,-0.0120166677360785,-0.00431666243885695,0.00175000529502511,0.00384999727687884,0.00653333591073458,0.0130666623112394,0.025899999164639,0.0281166716050156
"24",24,-0.0292833329831822,-0.0164499961877513,-0.00711666977709937,-0.000933334244222552,0.00385000152252017,0.00816666707396813,0.015983335914581,0.030683336123746,0.0393166706835967
"25",25,-0.0406000021746523,-0.0255500065907531,-0.0134166645382883,-0.00315000024812644,0.00268333620052297,0.00944999766068002,0.0216999948604775,0.0409500005790404,0.0508666609859896
"26",26,-0.0526166654929955,-0.0348833260198244,-0.016799995401112,-0.00524999930702994,0.00128333490719827,0.0109666669168218,0.0268333405235339,0.047599999376913,0.0622999957798897
"27",27,-0.0642833330689919,-0.0465500040716206,-0.0262500023260025,-0.00898333141930954,0.000699999874145498,0.013650003906792,0.0402499998487151,0.0565833311705422,0.0765333318376416
"28",28,-0.0827166618393099,-0.0587999986618682,-0.0380333389691925,-0.0142333360417213,-0.00186666570854016,0.0153999972530272,0.0404833365708168,0.0660333365187426,0.089133338452989
"29",29,-0.0978833364772603,-0.0754833266674097,-0.0480666658875541,-0.018316664621282,-0.00221666740234146,0.0194833343803804,0.0489999877507488,0.07478332258385,0.104183331722771
"30",30,-0.112700005405718,-0.0884333415302322,-0.0594999990067929,-0.0237999976103605,-0.00373333251451258,0.0242666685595245,0.0575166801103278,0.0845833332345315,0.119583336378337
"31",31,-0.131833330327915,-0.103833325149446,-0.0702333257228212,-0.0301000032379362,-0.00489999901194292,0.0281166699276375,0.074316666381145,0.094150007125008,0.130549998612928
"32",32,-0.141283332148781,-0.116900000491936,-0.0752500012550517,-0.0326666705259533,-0.00536666158489216,0.0318500024068978,0.0740833248551898,0.100683333257669,0.13638333051271
"33",33,-0.151316666281288,-0.131250003563838,-0.0872666679720814,-0.0388499974346126,-0.00560000423673035,0.0380333265613048,0.0821333376683575,0.109549996286801,0.148283337659258
"34",34,-0.16345000542438,-0.133583328125902,-0.094616670750728,-0.0402499980845743,-0.00676667121888719,0.0415333406676907,0.0856333344993171,0.117250002435235,0.147933330321162
"35",35,-0.165899999162324,-0.140816675340199,-0.0923999976399689,-0.0442166716445695,-0.00595000111166244,0.0444499912481296,0.0872666705457974,0.117716673500417,0.14513334533822
"36",36,-0.168933328790523,-0.141399993068076,-0.0993999934640687,-0.0485333346699879,-0.00746666654906598,0.0504000019714294,0.0872666710142805,0.121449992750681,0.144666663653672
"37",37,-0.169750006529834,-0.142216671227801,-0.0976499972462015,-0.0479499986912338,-0.00664999760543662,0.050633334822989,0.088316653384974,0.119816667241764,0.140000002561601
"38",38,-0.164850001191327,-0.142916667206462,-0.099516669619766,-0.0467833368162633,-0.0061833386588687,0.0521500037941817,0.0866833349801141,0.124483337780729,0.133699996991754
"39",39,-0.157966666888854,-0.136383326764616,-0.0906500036742683,-0.0493499924531181,-0.00594999595542112,0.0527333312523861,0.0848166753242489,0.113633329978315,0.127633330591013
"40",40,-0.152366666083128,-0.128100002784735,-0.0923999979970827,-0.0487666686431028,-0.00595000285498617,0.0521499927746343,0.0802666580120384,0.106983326957189,0.120749999063794
"41",41,-0.139649998133906,-0.124249997831851,-0.0895999991554881,-0.0492333400607716,-0.00361666838488963,0.0505166687624345,0.0766499900861914,0.101500003830752,0.112116663108253
"42",42,-0.13603333766843,-0.111416668272746,-0.0805000007834849,-0.0498166638914461,-0.00361666664555742,0.0466666732561541,0.0749000104121405,0.0947333339579839,0.103483347496403
"43",43,-0.119816662065293,-0.104533335439967,-0.075133330411043,-0.0459666681588195,-0.00303333332003943,0.0445666604973657,0.0685999989239677,0.0920500007743125,0.0949666558924379
"44",44,-0.107333333222716,-0.0988166706934295,-0.0689500035323478,-0.0470166626757687,-0.00326666587754826,0.0407166694778488,0.0655666650229084,0.0787500062915188,0.0865666538240761
"45",45,-0.098233334606043,-0.0935666646622393,-0.065566664635121,-0.0473666654236992,-0.00198333497942078,0.0365166623115017,0.0618333426022479,0.071399994513427,0.0785166662700243
